identifier;name;all_names_french;all_names_english;iso_639_2_t;iso_639_2_b;iso_639_1;version
language-367;nynorsk, norvégien;"norvégien nynorsk; nynorsk, norvégien";"Norwegian Nynorsk; Nynorsk, Norwegian";nno;;nn;0
language-368;nyoro;nyoro;Nyoro;nyo;;;0
language-369;nzema;nzema;Nzima;nzi;;;0
language-370;occitan (après 1500);occitan (après 1500);Occitan (post 1500);oci;;oc;0
language-371;occitan ancien (jusqu'… 1500);"provençal ancien (jusqu'… 1500); occitan ancien (jusqu'… 1500)";"Provençal, Old (to 1500);Occitan, Old (to 1500)";pro;;;0
language-372;oïrat;"kalmouk; oïrat";"Kalmyk; Oirat";xal;;;0
language-373;ojibwa;ojibwa;Ojibwa;oji;;oj;0
language-374;oriya;oriya;Oriya;ori;;or;0
language-375;osage;osage;Osage;osa;;;0
language-376;ossète;ossète;"Ossetian; Ossetic";oss;;os;0
language-377;otomi, langues;otomi, langues;Otomian languages;oto;;;0
language-378;oudmourte;oudmourte;Udmurt;udm;;;0
language-379;ougaritique;ougaritique;Ugaritic;uga;;;0
language-380;ouïgour;ouïgour;"Uighur; Uyghur";uig;;ug;0
language-381;ourdou;ourdou;Urdu;urd;;ur;0
language-382;ouszbek;ouszbek;Uzbek;uzb;;uz;0
language-383;pachto;pachto;"Pushto; Pashto";pus;;ps;0
language-384;pahlavi;pahlavi;Pahlavi;pal;;;0
language-385;palau;palau;Palauan;pau;;;0
language-386;pali;pali;Pali;pli;;pi;0
language-387;pampangan;pampangan;"Pampanga; Kapampangan";pam;;;0
language-388;pangasinan;pangasinan;Pangasinan;pag;;;0
language-389;papiamento;papiamento;Papiamento;pap;;;0
language-390;papoues, langues;papoues, langues;Papuan languages;paa;;;0
language-391;pas de contenu linguistique;"pas de contenu linguistique; non applicable";"No linguistic content; Not applicable";zxx;;;0
language-392;pedi;"pedi; sepedi; sotho du Nord";"Pedi; Sepedi; Northern Sotho";nso;;;0
language-393;pendjabi;pendjabi;"Panjabi; Punjabi";pan;;pa;0
language-394;persan;persan;Persian;fas;per;fa;0
language-395;perse, vieux (ca. 600-400 av. J.-C.);perse, vieux (ca. 600-400 av. J.-C.);Persian, Old (ca.600-400 B.C.);peo;;;0
language-396;peul;peul;Fulah;ful;;ff;0
language-397;phénicien;phénicien;Phoenician;phn;;;0
language-398;philippines, langues;philippines, langues;Philippine languages;phi;;;0
language-399;pilipino;"filipino; pilipino";"Filipino; Pilipino";fil;;;0
language-400;pohnpei;pohnpei;Pohnpeian;pon;;;0
language-401;polonais;polonais;Polish;pol;;pl;0
language-402;portugais;portugais;Portuguese;por;;pt;0
language-403;prƒkrit, langues;prƒkrit, langues;Prakrit languages;pra;;;0
language-404;provençal ancien (jusqu'… 1500);"provençal ancien (jusqu'… 1500); occitan ancien (jusqu'… 1500)";"Provençal, Old (to 1500);Occitan, Old (to 1500)";pro;;;0
language-405;quechua;quechua;Quechua;que;;qu;0
